Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
21-11-2025,15:30,MERCADOLIBRE INC,US58733R1023,NDQ,XNAS,1,1905.9400,USD,-1905.94,USD,-1656.34,1.1507,-4.14,-2.00,-1662.48,bf961c19-dc3c-4c73-a9ac-0f25b87e6052
07-11-2025,21:12,TELADOC HEALTH INC,US87918A1051,NSY,CDED,-10,7.4850,USD,74.85,USD,64.74,1.1562,-0.16,-2.00,62.58,05f564a1-f8ef-4f2c-939f-04be346ca8e6
07-11-2025,21:06,META PLATFORMS INC CLASS A,US30303M1027,NDQ,CDED,3,619.1650,USD,-1857.50,USD,-1606.70,1.1561,-4.02,-2.00,-1612.72,a1b76ea8-abec-4756-9afb-beb127305fd2
07-11-2025,21:04,ADR ON SEA LTD CLASS A,US81141R1005,NSY,XNYS,10,149.6000,USD,-1496.00,USD,-1294.35,1.1558,-3.24,-2.00,-1299.59,47af861f-de99-43e3-a7b2-12030e53420d
07-11-2025,21:02,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,BATS,-298,15.8300,USD,4717.34,USD,4081.48,1.1558,-10.20,,4071.27,616f7cac-313c-4ab7-9859-bcbc4b8a612f
07-11-2025,21:02,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,BATS,-1,15.8300,USD,15.83,USD,13.70,1.1558,-0.03,,13.66,616f7cac-313c-4ab7-9859-bcbc4b8a612f
07-11-2025,21:02,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,BATS,-1,15.8300,USD,15.83,USD,13.70,1.1558,-0.03,-2.00,11.66,616f7cac-313c-4ab7-9859-bcbc4b8a612f
07-11-2025,20:56,META PLATFORMS INC CLASS A,US30303M1027,NDQ,ARCX,4,618.3000,USD,-2473.20,USD,-2139.46,1.1560,-5.35,-2.00,-2146.81,736eb6ab-25ac-4aef-b806-5ab409c386fd
06-11-2025,21:29,NVIDIA CORP,US67066G1040,NDQ,ARCX,6,190.0000,USD,-1140.00,USD,-987.53,1.1544,-2.47,-2.00,-992.00,3a32098a-d7e4-40f8-9210-a23e48e35088
06-11-2025,21:28,ALPHABET INC CLASS A,US02079K3059,NDQ,ARCX,4,285.4000,USD,-1141.60,USD,-988.83,1.1545,-2.47,-2.00,-993.30,f86d1476-49b6-4e57-a2e2-4cd5450b5385
03-11-2025,21:42,ALPHABET INC CLASS A,US02079K3059,NDQ,ARCX,3,284.1900,USD,-852.57,USD,-740.15,1.1519,-1.85,-2.00,-744.00,262c9c8b-353e-4c88-be75-9932a267acbd
03-11-2025,21:34,AMAZON.COM INC,US0231351067,NDQ,JNST,5,254.2893,USD,-1271.45,USD,-1103.79,1.1519,-2.76,-2.00,-1108.55,73b6f4bc-743f-4a60-9286-678a5cccb283
28-10-2025,20:54,ALPHABET INC CLASS A,US02079K3059,NDQ,SOHO,3,267.6700,USD,-803.01,USD,-688.93,1.1656,-1.72,-2.00,-692.65,d6e7b465-c5be-4f06-886b-8d08f451ce49
28-10-2025,20:53,NVIDIA CORP,US67066G1040,NDQ,SOHO,4,201.4700,USD,-805.88,USD,-691.39,1.1656,-1.73,-2.00,-695.12,70adb178-0c88-4756-9e05-0d8633929e2a
20-10-2025,17:05,NU HOLDINGS LTD CLASS A,KYG6683N1034,NSY,JNST,300,15.4699,USD,-4640.97,USD,-3982.32,1.1654,-9.96,-2.00,-3994.28,3899b015-f617-4e3c-ac5c-8979d97c5253
20-10-2025,15:41,ADYEN NV,NL0012969182,EAM,MESI,-3,1451.6000,EUR,4354.80,EUR,4354.80,,0.00,-4.90,4349.90,b913d69b-cf55-44b2-9517-ed94e60d79c5
08-10-2025,18:54,ALPHABET INC CLASS A,US02079K3059,NDQ,BATS,4,244.2000,USD,-976.80,USD,-841.78,1.1604,-2.10,-2.00,-845.89,112177e7-71ba-4cf6-9cd3-66ba5e0118c0
16-09-2025,17:12,BROADCOM INC,US11135F1012,NDQ,ARCX,3,358.0000,USD,-1074.00,USD,-907.25,1.1838,-2.27,-2.00,-911.52,8ddd6aca-840f-4391-8800-4e3f81c91be6
16-09-2025,16:38,ALPHABET INC CLASS A,US02079K3059,NDQ,CDED,5,251.6700,USD,-1258.35,USD,-1062.71,1.1841,-2.66,-2.00,-1067.37,1d0e1f75-bc82-4058-a919-70786a953ebc
11-09-2025,21:58,BROADCOM INC,US11135F1012,NDQ,JNST,3,359.5700,USD,-1078.71,USD,-919.00,1.1738,-2.30,-2.00,-923.29,627f5f30-4ee0-41ea-8406-6243b62f3861
10-09-2025,20:02,ADR ON SEA LTD CLASS A,US81141R1005,NSY,CDED,3,192.9100,USD,-578.73,USD,-494.39,1.1706,-1.24,-2.00,-497.63,323edb6d-105b-43b3-bbb2-f1cbb78ef759
19-08-2025,18:47,BROADCOM INC,US11135F1012,NDQ,CDED,10,294.9200,USD,-2949.20,USD,-2529.56,1.1659,-6.32,-2.00,-2537.89,0a965ffa-3bc6-4410-b641-c402073ea5ab
14-08-2025,12:23,ADYEN NV,NL0012969182,EAM,XAMS,1,1267.0000,EUR,-1267.00,EUR,-1267.00,,0.00,-4.90,-1271.90,d178a3c6-3985-474e-91bf-0a583bbe4621
13-08-2025,11:46,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,-112,104.4290,EUR,11696.05,EUR,11696.05,,0.00,,11696.05,951935a4-44f1-408d-b0b0-5df753d874ee
13-08-2025,11:46,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,-6,104.4290,EUR,626.57,EUR,626.57,,0.00,-1.00,625.57,951935a4-44f1-408d-b0b0-5df753d874ee
11-06-2025,21:27,MERCADOLIBRE INC,US58733R1023,NDQ,EDGX,1,2390.0000,USD,-2390.00,USD,-2081.17,1.1484,-5.20,-2.00,-2088.37,5a5c5089-a924-4781-a17c-73343b4a0f1a
07-05-2025,17:59,ALPHABET INC CLASS A,US02079K3059,NDQ,CDED,10,150.9800,USD,-1509.80,USD,-1330.58,1.1347,-3.33,-2.00,-1335.91,41fd1fad-c44c-4fc3-be0c-af3cb64e6f31
29-04-2025,19:07,AMAZON.COM INC,US0231351067,NDQ,EDGX,3,186.2000,USD,-558.60,USD,-490.18,1.1396,-1.23,-2.00,-493.40,ef8763ad-0416-4a77-992a-ef0b0a554b2a
04-04-2025,21:11,AMAZON.COM INC,US0231351067,NDQ,CDED,10,173.8900,USD,-1738.90,USD,-1590.22,1.0935,-3.98,-2.00,-1596.20,3bbe9270-701c-4d48-b392-aa495e0c109c
25-03-2025,15:49,AMAZON.COM INC,US0231351067,NDQ,MEMX,8,205.7000,USD,-1645.60,USD,-1521.04,1.0819,-3.80,-2.00,-1526.84,5978d72b-d31d-4641-b61d-ff5a44babe7f
24-03-2025,18:13,ADR ON SEA LTD CLASS A,US81141R1005,NSY,CDED,5,128.2400,USD,-641.20,USD,-594.31,1.0789,-1.49,-2.00,-597.80,4c1fe61b-61cf-4f8c-a3c7-e3c447e97101
24-03-2025,12:02,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,7,129.6000,EUR,-907.20,EUR,-907.20,,0.00,-1.00,-908.20,24eaf34b-e6cb-4d81-8087-30eed5191613
